,portions_nowar,portions_z,keywords
0,0.032766040688576,0.006602112676056,"путин, война, мир"
1,0.0304186228482,0.001467136150235,"война, мир, друг"
2,0.011248043818466,0.020588810641628,"россия, санкция, газ, экономика, запад"
3,0.000537949921753,0.032130281690141,"сталинградский, сталинградская битва, 70 отца, дед сделать, сталинградская победа"
4,0.001173708920188,0.040933098591549,"помощь, гуманитарная помощь, единая россия, житель, центр"
5,0.001809467918623,0.018339201877934,"россия, единая россия, пациент, врач, помощь"
6,0.004401408450704,0.021469092331768,"референдум, херсонская область, референдум вхождения, херсонский запорожский, запорожский херсонский"
7,0.010807902973396,0.010074334898279,"фашизм, война, украина пути, нацизм, путь победы"
8,0.011688184663537,0.011443661971831,"песня, война, музыка"
9,0.017410015649452,0.000635758998435,"лидер, че, очевидец, артуганов, лдз"
10,0.000342331768388,0.015698356807512,"армия, солдат, поддерживать, военный, поддержка"
12,0.00547730829421,0.006357589984351,"информация, фейк, информационная война"
13,0.002396322378717,0.009634194053208,"спорт, соревнование, спортивный, болельщик, спортсмен"
14,0.010465571205008,0.000195618153365,"страшно бессильный, прикасаться душа, тропа, друг брата"
15,0.003765649452269,0.017507824726135,"письмо, поддержка, письмо солдата, акция письма, рисунок"
16,0.008411580594679,0.001320422535211,"мир, война, любовь, жизнь, друг"
17,0.008509389671362,0.000733568075117,"погибать, потеря, погибший, война, сообщать"
18,0.001320422535211,0.007971439749609,"противник, националист, сержант, лейтенант, подразделение"
19,0.007629107981221,0.001173708920188,"пожар, город, взрыв, окт 22, повреждать"
20,0.006895539906103,0.002298513302034,"вертолет, дрон, беспилотник, ракета, сбивать"
21,0.012812989045384,0.003912363067293,"митинг, война, выходить митинг, протест, антивоенный"
22,0.006259780907668,0.001369327073552,"суд, свобода срока, лишение свободы, штраф, уголовный"
23,0.000195618153365,0.012128325508607,"единая россия, региональное отделение, отделение партии, единая партия, помощь"
24,0.005966353677621,0.000635758998435,"украина, помощь"
25,0.008900625978091,0.005134976525822,"зеленский, зеленский владимир, война, президент"
26,0.001222613458529,0.017801251956182,"президент, поддерживать президент, гордиться, решение президента, спецоперация"
28,0.002689749608764,0.006553208137715,"книга, библиотека, литература, учебник, русский"
29,0.001418231611894,0.005232785602504,"россия, временное размещение, временный пункт, единая россия, волонтер"
30,0.000489045383412,0.005868544600939,"ставка, кредит, льготный, ипотека, правительство"
31,0.002689749608764,0.007775821596244,"концерт, благотворительный концерт, концерт поддержки"
32,0.002983176838811,0.011639280125196,"крым, крым россии, воссоединение крыма, крым севастополя, 18 марта"
33,0.000391236306729,0.006064162754304,"выплата, доход, семья, пособие, рубль"
34,0.000929186228482,0.008264866979656,"герой, военный гордиться, народ региона, солдат"
35,0.000293427230047,0.006015258215962,"пункт обогрева, россия readovka, обогрев жителя, единая россия, местное число"
36,0.000684663536776,0.008362676056338,"медаль, вручать, медаль отваги, государственная награда, военный"
37,0.003276604068858,0.001907276995305,"украина, военный, германия, leopard"
38,0.005526212832551,0.001907276995305,"видео, фильм"
39,0.006602112676056,0.006846635367762,флаг
40,0.007335680751174,0.00127151799687,"мать, ребенок, война, убивать, солдат"
41,0.000146713615023,0.004939358372457,"калашников, оборонная промышленность, автомат, михаил калашникова, конструктор создавать"
42,0.005770735524257,0.000635758998435,"хреновость, hовости хреновости, вечерний выпуск, выпуск войны, утренний выпуск"
43,0.001467136150235,0.006015258215962,"флот, военноморский флот, флот россии, вмф, андреевский флага"
44,0.002885367762128,0.001516040688576,"русский, русский мир, россиянин"
45,0.004059076682316,0.000195618153365,"страх, помогать, стресс, страшно"
46,0.009536384976526,0.000391236306729,"петиция, петиция требования, война, подписывать петиция, подпись петиции"
47,0.00758020344288,0.002836463223787,"мост, крымский мост, антоновский мост"
48,0.000391236306729,0.004499217527387,"производство, производитель, информация импортозамещения, рынок, большой достоверный"
49,0.003472222222222,0.000391236306729,"мир, блаженный"
50,9.78090766823161E-05,0.00381455399061,"посылка, тепло родной, шить, маскировочный, теплый"
51,0.002983176838811,0.001320422535211,"православный, патриарх, православная церковь, русский православный, война"
52,0.005428403755869,0.00337441314554,"переговоры, война, военный"
53,0.003570031298905,0.000146713615023,"политика, друг, война"
54,0.002445226917058,0.001222613458529,"россия, айтуган, русский, бросать отличный, отличный ролик"
55,0.00337441314554,0.000293427230047,"юрист, пенсионер, война, стыдно, адвокат"
58,0.003765649452269,0.008802816901408,"беженец, украинский беженец, помогать, война, беженец донбасса"
59,0.000489045383412,0.003667840375587,"мемориал, монумент, мемориальный комплекс"
60,0.000586854460094,0.003618935837246,"русский, русский дух, любить россия"
61,0.003961267605634,0.00718896713615,"мобилизация, частичная мобилизация, военный"
62,0.000293427230047,0.003863458528951,"вциом, президент, опрос, доверие владимира, положительно отвечать"
63,0.001075899843505,0.006259780907668,"домой, вернуться домой, ждать домой, победа, воин защищать"
64,0.00337441314554,4.89045383411581E-05,"украина, война, жить, мир, друг"
65,0.000293427230047,0.006015258215962,"семья, семья мобилизовать, помощь семьи, заявка, штаб"
66,0.006406494522692,0.001809467918623,"весна, мир, война"
67,0.002445226917058,0.001075899843505,"зерно, порт, тонна зерна, судно, млн тонны"
68,0.002005086071987,0.007531298904538,"защитник отечества, праздник, поздравлять"
69,0.002200704225352,0.005624021909233,"памятник, советский памятник, погибать"
