,total_popularity,nowar_prevalence,keywords
88,0.001858372456964,0.210526315789474,"препарат, лекарство, лекарственный препарат"
90,0.001100352112676,0.066666666666667,"турист, туризм, грант, агротуризм, белоруссия лета"
92,0.002885367762128,0.330508474576271,"мариуполь, город, азовское море, освобождение мариуполя, донбасский ход"
93,0.001613849765258,0.015151515151515,"строитель, студенческий отряд, российский студенческий, донбасс, строительная отрасль"
94,0.001198161189358,0.102040816326531,"вуз, абитуриент, егэ, экзамен, школа"
95,0.002860915492958,0.726495726495726,"аэс, запорожская аэс, магатэ, энергоблок, станция"
96,0.005990805946792,0.257142857142857,"россия, днр лнр, независимость, война, донбасс"
97,0.001002543035994,0.073170731707317,"президент, говорить тысячелетний, должный настоящий, история слова, огромная перспектива"
98,0.001662754303599,0.220588235294118,"тактическая медицина, медицина военнослужащего, тактическая аптечка, тактический курс, военнослужащий донбасса"
,,,
,,,
"Темы 9, 27, 49, 54, 55, 70, 75, 82, 83, 86, 89, 91 – удалены, т.к. темы не имели смысла",,,
"Названия тем 39, 59 изменены",,,
