,portions_nowar,portions_z,keywords
90,4.89045383411581E-05,0.003129890453834,"строитель, студенческий отряд, донбасс, строительная отрасль, российский студенческий"
91,0.000244522691706,0.002151799687011,"вуз, абитуриент, егэ, экзамен, школа"
92,0.00254303599374,0.001564945226917,"аэс, запорожская аэс, энергоблок, чернобыльский, атомная электростанция"
93,0.003080985915493,0.009047339593114,"россия, независимость, днр лнр, война, донбасс"
94,0.000146713615023,0.001858372456964,"президент, говорить тысячелетний, должный настоящий, история слова, огромная перспектива"
95,0.000733568075117,0.002591940532081,"тактическая медицина, медицина военнослужащего, тактическая аптечка, тактический курс, военнослужащий донбасса"
,,,
,,,
"Удаляем темы в связи с бессмысленностью: 9, 29, 40, 52, 56, 57, 69, 79, 80, 86, 88",,,
"Меняем название, чтобы стало понятнее: 19, 28, 42, 44, 48, 59, 64",,,
